,Open,High,Low,Close,Adj Close,Volume,20_SMA,50_SMA,TP,std,MA-TP,BOLU,BOLD,macd,signal,hist,Supertrend,Final Lowerband,Final Upperband
628,281.29998779296875,282.20001220703125,276.70001220703125,277.54998779296875,277.54998779296875,12033796,247.6599998474121,243.23965454101562,278.81667073567706,20.58541372036708,246.95999984741212,288.1308272881463,205.78917240667795,,,,True,259.0577348053748,
629,278.5,284.1499938964844,277.54998779296875,279.29998779296875,279.29998779296875,13288180,250.25249938964845,244.44166564941406,280.3333231608073,21.31181677477902,249.58666610717773,292.2102996567358,206.9630325576197,,,,True,259.0577348053748,
630,4830.0,4864.2001953125,4700.0,4712.0,4712.0,451353,4712.0,4712.0,4758.7333984375,,,,,,,,True,,
631,4743.5498046875,4743.5498046875,4665.0,4670.10009765625,4670.10009765625,436583,4691.050048828125,4691.050048828125,4692.88330078125,,,,,,,,True,,
632,4670.10009765625,4698.0,4637.10009765625,4650.14990234375,4650.14990234375,487053,4677.416666666667,4677.416666666667,4661.75,,,,,,,,True,,
633,4650.5,4689.7998046875,4616.10009765625,4666.5498046875,4666.5498046875,282034,4674.699951171875,4674.699951171875,4657.483235677083,,,,,,,,True,,
634,4670.0,4708.39990234375,4628.7998046875,4636.60009765625,4636.60009765625,330123,4667.07998046875,4667.07998046875,4657.933268229167,,,,,,,,True,,
635,4636.60009765625,4650.0,4581.60009765625,4599.0498046875,4599.0498046875,274197,4655.741617838542,4655.741617838542,4610.216634114583,,,,,,,,True,,
636,4576.0,4633.7001953125,4541.0,4616.7001953125,4616.7001953125,154258,4650.164271763393,4650.164271763393,4597.133463541667,,,,,,,,True,,
637,4577.0,4615.0,4559.75,4600.60009765625,4600.60009765625,188763,4643.96875,4643.96875,4591.783365885417,,,,,,,,True,,
638,4576.0498046875,4668.4501953125,4576.0498046875,4657.85009765625,4657.85009765625,311184,4645.511121961806,4645.511121961806,4634.11669921875,,,,,,,,True,,
639,4649.5498046875,4649.5498046875,4595.2998046875,4615.5498046875,4615.5498046875,243546,4642.514990234375,4642.514990234375,4620.133138020833,,,,,,,,True,4384.283494643906,
